,title,link,author,author_link,date
0,A Comparison of Physical Activity Between Home-Based and Centre-Based Pulmonary Rehabilitation: A Randomised Controlled Secondary Analysis,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-physical-activity-between-home-based-and-centre-b,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton,26 Oct 2021
1,Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,11 Jul 2021
2,"Acute Hormonal Response to Kettlebell Swing Exercise Differs Depending on Load, Even When Total Work Is Normalized",https://pureportal.coventry.ac.uk/en/publications/acute-hormonal-response-to-kettlebell-swing-exercise-differs-depe,"Renshaw, D.",https://pureportal.coventry.ac.uk/en/persons/derek-renshaw,1 Apr 2021
3,Associations Between Self-Reported Sleep Duration and Mortality in Employed Individuals: Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/publications/associations-between-self-reported-sleep-duration-all-cause-and-c,"Roden, L. C.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,Jul 2021
4,Blood cancer care in a resource limited setting during the Covid-19 outbreak; a single center experience from Sri Lanka,https://pureportal.coventry.ac.uk/en/publications/blood-cancer-care-in-a-resource-limited-setting-during-the-covid-,"Lin, T. T.",https://pureportal.coventry.ac.uk/en/persons/thet-thet-lin,17 Sep 2021
5,British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Kite, R. J.",https://pureportal.coventry.ac.uk/en/persons/richard-james-kite,28 Jul 2021
6,Changes in joint kinematics and dynamic postural stability with free and restricted arm movements in children,https://pureportal.coventry.ac.uk/en/publications/changes-in-joint-kinematics-and-dynamic-postural-stability-with-f,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,Jul 2021
7,Comparative analysis of reported physical activity from leisure centres’ members versus the general population in Spain,https://pureportal.coventry.ac.uk/en/publications/comparative-analysis-of-reported-physical-activity-from-leisure-c,"Lopez Fernandez, J.",https://pureportal.coventry.ac.uk/en/persons/jorge-lopez-fernandez,29 Jun 2021
8,Delivery Approaches Within Exercise Referral Schemes: A Survey of Current Practice in England,https://pureportal.coventry.ac.uk/en/publications/delivery-approaches-within-exercise-referral-schemes-a-survey-of-,"Rowley, N.",https://pureportal.coventry.ac.uk/en/persons/nikita-rowley,Apr 2021
9,Developing Powerful Athletes Part 2: Practical Applications,https://pureportal.coventry.ac.uk/en/publications/developing-powerful-athletes-part-2-practical-applications,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy,Feb 2021
10,Does Resisted Sled Towing Improve the Physical Qualities of Elite Youth Soccer Players of Differing Maturity Status?,https://pureportal.coventry.ac.uk/en/publications/does-resisted-sled-towing-improve-the-physical-qualities-of-elite,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris,Feb 2021
11,Dose response effects of the BWF Shuttle Time Programme on children’s actual and perceived fundamental movement skill competence,https://pureportal.coventry.ac.uk/en/publications/dose-response-effects-of-the-bwf-shuttle-time-programme-on-childr,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,Dec 2021
12,"Effectiveness of Structured Physical Activity Interventions Through the Evaluation of Physical Activity Levels, Adoption, Retention, Maintenance, and Adherence Rates: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-structured-physical-activity-interventions-throu,"Willinger, N.",https://pureportal.coventry.ac.uk/en/persons/nadja-willinger,Jan 2021
13,Effect of Barbell Load on Vertical Jump Landing Force-Time Characteristics,https://pureportal.coventry.ac.uk/en/publications/effect-of-barbell-load-on-vertical-jump-landing-force-time-charac,"Mundy, P. D.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy,1 Jan 2021
14,Effect of sex and fatigue on quiet standing and dynamic balance and lower extremity muscle stiffness,https://pureportal.coventry.ac.uk/en/publications/effect-of-sex-and-fatigue-on-quiet-standing-and-dynamic-balance-a,"Hill, M.",https://pureportal.coventry.ac.uk/en/persons/mathew-hill,20 Oct 2021
